d,value,feed_id,created_at,lat,lon,ele
0EWVA5C4Z2993ZWYSHKFN6852Z,24.179686,1754978,2021-12-02 14:52:47 UTC,,,
0EWVA5EA2BQ9GH4XYF537H28AX,24.179686,1754978,2021-12-02 14:52:54 UTC,,,
0EWVA5GJM02X1HM78BQ0YXMVSZ,29.057617,1754978,2021-12-02 14:53:02 UTC,,,
0EWVA5HS4HEZWANACHEDB0ZH2G,31.079102,1754978,2021-12-02 14:53:06 UTC,,,
0EWVA5K1GEP663EAFNTS1C41S9,31.914062,1754978,2021-12-02 14:53:10 UTC,,,
0EWVA5MKX4S3D9XRCSJVQ5YFQ8,32.397461,1754978,2021-12-02 14:53:15 UTC,,,
0EWVA5ND0Q3QMYYEXZ83CC4KRE,32.529293,1754978,2021-12-02 14:53:18 UTC,,,
0EWVA5P654YJE0YFW3HN1ZSPKE,32.705074,1754978,2021-12-02 14:53:20 UTC,,,
0EWVA5QV1K7GJTV73Z1YFS69N1,33.012695,1754978,2021-12-02 14:53:26 UTC,,,
0EWVA5SZSQGKS0MYRQFBW0FZAX,33.759762,1754978,2021-12-02 14:53:33 UTC,,,
0EWVA5Y1J367RFC34CR8N1B18Q,34.506836,1754978,2021-12-02 14:53:46 UTC,,,
0EWVA5Z00TX384PT7AWGAPVHR3,34.550781,1754978,2021-12-02 14:53:49 UTC,,,
0EWVA60JPZXHPJH0HHT06MEQ78,34.770508,1754978,2021-12-02 14:53:54 UTC,,,
0EWVA61RSEJKMCH4N9QBFMXVR1,34.990234,1754978,2021-12-02 14:53:58 UTC,,,
0EWVA63T9S5K4ASWXAZZNMMZMR,35.253906,1754978,2021-12-02 14:54:05 UTC,,,
0EWVA661H34SS726P90BNCD4CW,35.297848,1754978,2021-12-02 14:54:12 UTC,,,
0EWVA6AAB3T9TRBZGEHEQC126S,35.429688,1754978,2021-12-02 14:54:26 UTC,,,
0EWVA6CHMG8QAMTXXDZD0V3Q3A,35.473633,1754978,2021-12-02 14:54:33 UTC,,,
0EWVA6DY757EVTG3ETAVH3PDZZ,35.473633,1754978,2021-12-02 14:54:38 UTC,,,
0EWVA6GTGZH1QBS4A5AVQ0BD3N,35.517574,1754978,2021-12-02 14:54:47 UTC,,,
0EWVA6HYMDMYSKX4K29VNV7BGY,35.517574,1754978,2021-12-02 14:54:51 UTC,,,
0EWVA6KGCG619N7S5BCGN4D6KZ,35.517574,1754978,2021-12-02 14:54:56 UTC,,,
0EWVA6P7YMMXVFKGV4B3PB4HTA,35.517574,1754978,2021-12-02 14:55:05 UTC,,,
0EWVA6RF18TW1T1RTA4VXP1XZJ,35.517574,1754978,2021-12-02 14:55:13 UTC,,,
0EWVA6TRAB6Z9X9SHTWZE3Q71V,35.561520,1754978,2021-12-02 14:55:20 UTC,,,
0EWVA6WS6TPDD6ZS0YH7K775MC,35.605469,1754978,2021-12-02 14:55:27 UTC,,,
0EWVA6XQW3PEAJ670JAGKZA8ZP,35.605469,1754978,2021-12-02 14:55:30 UTC,,,
0EWVA7055NTMDF058970CKSTJ1,35.649414,1754978,2021-12-02 14:55:38 UTC,,,
